names,links
Hotel Chicken Zain,https://www.zomato.com/manipal/hotel-chicken-zain-eshwar-nagar/order
Coral,https://www.zomato.com/manipal/coral-kunjibettu/order
Anupam,https://www.zomato.com/manipal/anupam-brahmagiri-udupi/order
Shetty Lunch Home,https://www.zomato.com/manipal/shetty-lunch-home-eshwar-nagar/order
Payohima,https://www.zomato.com/manipal/payohima-1-eshwar-nagar/order
Scirocco,https://www.zomato.com/manipal/scirocco-tiger-circle/order
Biryani Paradise,https://www.zomato.com/manipal/biryani-paradise-maruthi-veethika-udupi/order
Biryani Box BOXD,https://www.zomato.com/manipal/biryani-box-boxd-vidyaratna-nagar/order
Hotel Lake View,https://www.zomato.com/manipal/hotel-lake-view-dasharath-nagar/order
Hotel Sammana Veg &amp; Non Veg,https://www.zomato.com/manipal/hotel-sammana-veg-non-veg-kunjibettu-udupi/order
Sagar Ratna,https://www.zomato.com/manipal/sagar-ratna-kunjibettu/order
Jaafna Waffles and Pancakes,https://www.zomato.com/manipal/jaafna-waffles-and-pancakes-vidyaratna-nagar/order
Malabar Express,https://www.zomato.com/manipal/malabar-express-vidyaratna-nagar/order
Supper Cloud,https://www.zomato.com/manipal/supper-cloud-eshwar-nagar/order
Hotel Pingara,https://www.zomato.com/manipal/hotel-pingara-dasharath-nagar/order
Time Cafe Restaurant,https://www.zomato.com/manipal/time-cafe-restaurant-1-eshwar-nagar/order
Kolkata To Manipal,https://www.zomato.com/manipal/kolkata-to-manipal-saralebettu/order
Santrupt Military Hotel,https://www.zomato.com/manipal/santrupt-military-hotel-kunjibettu-udupi/order
Leo's Pub,https://www.zomato.com/manipal/leos-pub-maruthi-veethika-udupi/order
Coast Asia,https://www.zomato.com/manipal/coast-asia-eshwar-nagar/order
Saiba Restaurant,https://www.zomato.com/manipal/saiba-restaurant-eshwar-nagar/order
Pisces Multicuisine Deluxe Family Restaurant,https://www.zomato.com/manipal/pisces-multicuisine-deluxe-family-restaurant-maruthi-veethika/order
Pind Punjabi,https://www.zomato.com/manipal/pind-punjabi-tiger-circle/order
