name,link
Madhuvan Mandara Multi Cuisine Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3508700000,74.7874530000"
Fullfills,"https://www.google.com/maps/dir/?api=1&destination=13.3469395000,74.7841914000"
Malika - White Lotus Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3439466288,74.7492344677"
The Mill,"https://www.google.com/maps/dir/?api=1&destination=13.3543113671,74.7920692132"
Dishes Family Restaurant,"https://www.google.com/maps/dir/?api=1&destination=13.3475226151,74.7831712972"
Dolphin Lunch Home,"https://www.google.com/maps/dir/?api=1&destination=13.3554685993,74.7965312004"
Spicy Kitchen,"https://www.google.com/maps/dir/?api=1&destination=13.3538225301,74.7921068454"
Shivanna's Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3368123001,74.7498675534"
Shivanna's Military Hotel,"https://www.google.com/maps/dir/?api=1&destination=13.3582595697,74.7846536606"
Masala Kraft Kitchen,"https://www.google.com/maps/dir/?api=1&destination=13.3549083000,74.7941896000"
Fish Factory,"https://www.google.com/maps/dir/?api=1&destination=13.3394123801,74.7478350058"
Ghar Ki Rasoi,"https://www.google.com/maps/dir/?api=1&destination=13.3435050000,74.7780580000"
Indie Biryani,"https://www.google.com/maps/dir/?api=1&destination=13.3541970000,74.7957550000"
Hotel Chicken Zain,"https://www.google.com/maps/dir/?api=1&destination=13.3535387402,74.7911121324"
Coral,"https://www.google.com/maps/dir/?api=1&destination=13.3451259271,74.7562588379"
Anupam,"https://www.google.com/maps/dir/?api=1&destination=13.3361840000,74.7504700000"
Shetty Lunch Home,"https://www.google.com/maps/dir/?api=1&destination=13.3491338671,74.7875850275"
Payohima,"https://www.google.com/maps/dir/?api=1&destination=13.3510174389,74.7877533361"
Scirocco,"https://www.google.com/maps/dir/?api=1&destination=13.3505130000,74.7869560000"
Biryani Paradise,"https://www.google.com/maps/dir/?api=1&destination=13.3433398507,74.7483107820"
Biryani Box BOXD,"https://www.google.com/maps/dir/?api=1&destination=13.3460130000,74.7851200000"
Hotel Lake View,"https://www.google.com/maps/dir/?api=1&destination=13.3427131713,74.7900191322"
Hotel Sammana Veg,"https://www.google.com/maps/dir/?api=1&destination=13.3457810000,74.7647810000"
Sagar Ratna,"https://www.google.com/maps/dir/?api=1&destination=13.3451269058,74.7562900186"
Jaafna Waffles and Pancakes,"https://www.google.com/maps/dir/?api=1&destination=13.3471381000,74.7806482000"
Malabar Express,"https://www.google.com/maps/dir/?api=1&destination=13.3516887881,74.7839730978"
